t_min,acc,algo,preset,model,dataset,seed,local_steps,lr,lam,alpha_base,eps,a,To_max_min,run_name,train_between_passes,sec_per_step
8.0,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
10.0,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
18.0,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
27.4,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
35.4,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
38.8,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
43.4,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
46.8,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
58.199999999999996,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
60.8,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
66.19999999999999,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
68.8,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
77.6,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
85.6,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
86.19999999999999,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
94.19999999999999,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
97.0,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
105.0,0.054,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
111.6,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
116.4,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
119.6,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
124.4,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
135.8,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
137.0,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
143.8,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
145.0,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
155.2,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
162.4,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
163.2,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
170.4,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
174.6,0.8556,fedavg_sync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
