t_min,acc,algo,preset,model,dataset,seed,local_steps,lr,lam,alpha_base,eps,a,To_max_min,run_name,train_between_passes,sec_per_step
35.4,0.054,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
60.8,0.054,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
94.19999999999999,0.054,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
124.4,0.7906,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
155.2,0.8189,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
182.6,0.8661,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
213.2,0.8676,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
240.8,0.874,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
271.6,0.8742,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
310.4,0.8744,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
337.8,0.8763,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
365.6,0.8776,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
391.0,0.8828,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
424.4,0.8877,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
454.2,0.8907,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
485.0,0.8918,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
512.4,0.8968,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
543.2,0.8939,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
570.6,0.8963,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
601.4,0.892,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
640.2,0.8937,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
667.6,0.8947,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
695.8,0.9007,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
721.2,0.9015,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
754.6,0.9048,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
780.0,0.9031,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
814.8,0.9035,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
842.2,0.9055,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
873.0,0.9055,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
900.4,0.9058,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
931.2,0.9038,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
970.0,0.9015,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
997.4,0.9054,fedasync,bremen,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,stride_2_6,1,0.0
35.4,0.054,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
60.8,0.054,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
94.19999999999999,0.054,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
124.4,0.6592,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
155.2,0.7927,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
182.6,0.8213,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
213.2,0.8313,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
240.8,0.8297,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
271.6,0.828,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
310.4,0.8322,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
337.8,0.8403,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
365.6,0.8474,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
391.0,0.8477,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
424.4,0.8514,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
454.2,0.8581,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
485.0,0.8584,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
512.4,0.8623,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
543.2,0.8616,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
570.6,0.8642,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
601.4,0.8658,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
640.2,0.863,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
667.6,0.8672,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
695.8,0.8713,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
721.2,0.8681,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
754.6,0.8716,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
780.0,0.8709,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
814.8,0.8729,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
842.2,0.8752,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
873.0,0.8746,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
900.4,0.8725,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
931.2,0.8702,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
970.0,0.8758,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
997.4,0.8772,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
35.4,0.054,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
60.8,0.054,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
94.19999999999999,0.054,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
124.4,0.6592,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
155.2,0.7927,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
182.6,0.8213,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
213.2,0.8313,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
240.8,0.8297,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
271.6,0.828,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
310.4,0.8322,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
337.8,0.8403,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
365.6,0.8474,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
391.0,0.8477,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
424.4,0.8514,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
454.2,0.8581,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
485.0,0.8584,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
512.4,0.8623,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
543.2,0.8616,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
570.6,0.8642,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
601.4,0.8658,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
640.2,0.863,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
667.6,0.8672,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
695.8,0.8713,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
721.2,0.8681,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
754.6,0.8716,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
780.0,0.8709,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
814.8,0.8729,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
842.2,0.8752,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
873.0,0.8746,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
900.4,0.8725,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
931.2,0.8702,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
970.0,0.8758,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
997.4,0.8772,fedsat,bremen,logreg,mnist,0,50,0.01,0.0,0.1,0.01,640.35,127.0,stride_2_6,1,0.0
