t_min,acc,algo,preset,model,dataset,seed,local_steps,lr,lam,alpha_base,eps,a,To_max_min,run_name,train_between_passes,sec_per_step
10.0,0.7569,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
16.666666666666668,0.7569,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
26.666666666666668,0.846,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
33.333333333333336,0.846,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
43.333333333333336,0.8563,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
50.0,0.8563,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
60.0,0.866,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
66.66666666666667,0.866,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
76.66666666666667,0.8647,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
83.33333333333334,0.8647,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
93.33333333333334,0.8664,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
100.0,0.8664,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
110.0,0.8724,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
116.66666666666667,0.8724,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
126.66666666666667,0.8733,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
133.33333333333334,0.8733,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
143.33333333333334,0.8798,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
150.0,0.8798,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
160.0,0.8882,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
166.66666666666669,0.8882,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
176.66666666666669,0.8918,fedsat,pole,logreg,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
10.0,0.4123,fedsat,pole,snn,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
16.666666666666668,0.4123,fedsat,pole,snn,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
26.666666666666668,0.6858,fedsat,pole,snn,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
33.333333333333336,0.6858,fedsat,pole,snn,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
43.333333333333336,0.725,fedsat,pole,snn,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
50.0,0.725,fedsat,pole,snn,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
60.0,0.7429,fedsat,pole,snn,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
66.66666666666667,0.7429,fedsat,pole,snn,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
76.66666666666667,0.7595,fedsat,pole,snn,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
83.33333333333334,0.7595,fedsat,pole,snn,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
93.33333333333334,0.7417,fedsat,pole,snn,mnist,0,50,0.1,0.0,0.1,0.1,1.0,127.0,contact_budget,0,0.1
